_,kc12,zero,zero,kc21,_,kco1,zero,zero,koc2,_,ko12,zero,zero,ko21,_
-4.479405,4.479405,0.000000,0.000000,0.920832,-2.228134,1.307302,0.000000,0.000000,2.236219,-2.885382,0.649163,0.000000,0.000000,3.200924,-3.200924
-3.228190,3.228190,0.000000,0.000000,0.043448,-0.565253,0.521805,0.000000,0.000000,1.742960,-1.978619,0.235659,0.000000,0.000000,2.030988,-2.030988
-4.438236,4.438236,0.000000,0.000000,0.448894,-0.630543,0.181648,0.000000,0.000000,1.284495,-1.726071,0.441576,0.000000,0.000000,2.372976,-2.372977
-4.934031,4.934031,0.000000,0.000000,1.491598,-1.813357,0.321760,0.000000,0.000000,2.046349,-2.210628,0.164279,0.000000,0.000000,2.847218,-2.847217
-3.785879,3.785879,0.000000,0.000000,0.039530,-0.134177,0.094647,0.000000,0.000000,1.998039,-2.657334,0.659295,0.000000,0.000000,2.019253,-2.019253
-4.223022,4.223022,0.000000,0.000000,0.342565,-1.175201,0.832635,0.000000,0.000000,2.972683,-3.432170,0.459487,0.000000,0.000000,2.542522,-2.542522
-4.249247,4.249247,0.000000,0.000000,0.027361,-0.529971,0.502610,0.000000,0.000000,1.950575,-2.431937,0.481363,0.000000,0.000000,2.824337,-2.824337
-4.278271,4.278271,0.000000,0.000000,0.346009,-0.713368,0.367360,0.000000,0.000000,2.298996,-2.521582,0.222585,0.000000,0.000000,1.928685,-1.928685
-4.121934,4.121934,0.000000,0.000000,0.177092,-1.002063,0.824970,0.000000,0.000000,3.012732,-3.345584,0.332853,0.000000,0.000000,2.090484,-2.090484
-3.764567,3.764567,0.000000,0.000000,0.132355,-0.791174,0.658818,0.000000,0.000000,1.552472,-2.309322,0.756850,0.000000,0.000000,2.676772,-2.676772
-4.059276,4.059276,0.000000,0.000000,0.599096,-1.927433,1.328337,0.000000,0.000000,2.107936,-2.462076,0.354141,0.000000,0.000000,2.478480,-2.478480
-4.265221,4.265221,0.000000,0.000000,0.775028,-1.787579,1.012551,0.000000,0.000000,2.210553,-2.400493,0.189940,0.000000,0.000000,2.927841,-2.927841
-4.283214,4.283214,0.000000,0.000000,1.108948,-2.673460,1.564512,0.000000,0.000000,2.106714,-2.238832,0.132119,0.000000,0.000000,2.801435,-2.801435
-4.790321,4.790321,0.000000,0.000000,0.310990,-0.608263,0.297273,0.000000,0.000000,2.449921,-2.993897,0.543976,0.000000,0.000000,1.600014,-1.600014
-4.118395,4.118395,0.000000,0.000000,0.668014,-1.491746,0.823732,0.000000,0.000000,1.864928,-2.687112,0.822184,0.000000,0.000000,2.748696,-2.748696
-3.753996,3.753996,0.000000,0.000000,0.576538,-1.891757,1.315219,0.000000,0.000000,2.666211,-2.984705,0.318495,0.000000,0.000000,2.546869,-2.546869
-4.787058,4.787058,0.000000,0.000000,0.462776,-1.621380,1.158603,0.000000,0.000000,2.381895,-2.872132,0.490237,0.000000,0.000000,3.217243,-3.217243
-3.818182,3.818182,0.000000,0.000000,0.206216,-0.356051,0.149835,0.000000,0.000000,2.036394,-2.075510,0.039117,0.000000,0.000000,1.762855,-1.762854
-5.325227,5.325227,0.000000,0.000000,1.134115,-2.389934,1.255818,0.000000,0.000000,3.083186,-3.537707,0.454521,0.000000,0.000000,3.012434,-3.012434
-3.665295,3.665295,0.000000,0.000000,0.673808,-0.986757,0.312949,0.000000,0.000000,2.245256,-2.402521,0.157265,0.000000,0.000000,2.474681,-2.474681
-5.634736,5.634736,0.000000,0.000000,1.453640,-2.825884,1.372243,0.000000,0.000000,1.548084,-1.974365,0.426280,0.000000,0.000000,2.737664,-2.737664
-3.708893,3.708893,0.000000,0.000000,0.615261,-1.175657,0.560396,0.000000,0.000000,2.308105,-2.764443,0.456338,0.000000,0.000000,1.910736,-1.910736
-4.001094,4.001094,0.000000,0.000000,0.773685,-0.974488,0.200803,0.000000,0.000000,2.282349,-2.687181,0.404832,0.000000,0.000000,2.073402,-2.073402
-3.599253,3.599252,0.000000,0.000000,1.635078,-2.557283,0.922205,0.000000,0.000000,2.571671,-2.844642,0.272971,0.000000,0.000000,2.358727,-2.358727
-4.316263,4.316263,0.000000,0.000000,0.147942,-0.356937,0.208995,0.000000,0.000000,2.299942,-3.286255,0.986313,0.000000,0.000000,2.752676,-2.752676
-3.933291,3.933291,0.000000,0.000000,0.785006,-1.110275,0.325269,0.000000,0.000000,2.504377,-2.836748,0.332371,0.000000,0.000000,1.571729,-1.571729
-3.552598,3.552598,0.000000,0.000000,0.888809,-1.581770,0.692961,0.000000,0.000000,2.350077,-2.381741,0.031664,0.000000,0.000000,2.503995,-2.503995
-3.487124,3.487124,0.000000,0.000000,0.331094,-1.058840,0.727745,0.000000,0.000000,2.041114,-2.149944,0.108829,0.000000,0.000000,2.149532,-2.149532
-4.436205,4.436205,0.000000,0.000000,0.357460,-0.705901,0.348441,0.000000,0.000000,2.289072,-2.574496,0.285424,0.000000,0.000000,2.444096,-2.444096
-4.005046,4.005046,0.000000,0.000000,0.408700,-0.855328,0.446627,0.000000,0.000000,2.282080,-2.462427,0.180347,0.000000,0.000000,2.444105,-2.444105
-4.131812,4.131812,0.000000,0.000000,0.806363,-1.939219,1.132856,0.000000,0.000000,2.329075,-2.553788,0.224712,0.000000,0.000000,2.335428,-2.335428
-4.126988,4.126988,0.000000,0.000000,0.272214,-0.841440,0.569227,0.000000,0.000000,2.461087,-3.058823,0.597736,0.000000,0.000000,2.303280,-2.303280
-4.140675,4.140675,0.000000,0.000000,0.220958,-0.563970,0.343012,0.000000,0.000000,1.735510,-1.984589,0.249079,0.000000,0.000000,2.323502,-2.323502
-5.866885,5.866885,0.000000,0.000000,0.347300,-0.802150,0.454849,0.000000,0.000000,2.450703,-3.499206,1.048503,0.000000,0.000000,2.036633,-2.036633
-4.676698,4.676698,0.000000,0.000000,0.635473,-1.693969,1.058495,0.000000,0.000000,2.167797,-2.201556,0.033760,0.000000,0.000000,1.887087,-1.887087
-3.555434,3.555434,0.000000,0.000000,0.437826,-0.991784,0.553958,0.000000,0.000000,1.983472,-2.074139,0.090668,0.000000,0.000000,2.052437,-2.052437
-4.207250,4.207250,0.000000,0.000000,0.959987,-1.531147,0.571160,0.000000,0.000000,2.238861,-2.461675,0.222814,0.000000,0.000000,2.405535,-2.405535
-4.650188,4.650189,0.000000,0.000000,0.706191,-1.770294,1.064103,0.000000,0.000000,1.808550,-2.250757,0.442207,0.000000,0.000000,2.307978,-2.307978
-4.214254,4.214255,0.000000,0.000000,0.485204,-1.138237,0.653032,0.000000,0.000000,2.725774,-3.145665,0.419891,0.000000,0.000000,2.201907,-2.201907
-3.692317,3.692317,0.000000,0.000000,0.154092,-0.456422,0.302330,0.000000,0.000000,1.951097,-1.963664,0.012567,0.000000,0.000000,2.437163,-2.437162
-3.473053,3.473053,0.000000,0.000000,0.064159,-0.855020,0.790861,0.000000,0.000000,1.639226,-1.696786,0.057561,0.000000,0.000000,2.249539,-2.249539
-3.886085,3.886085,0.000000,0.000000,0.039687,-1.520310,1.480623,0.000000,0.000000,1.826480,-2.135428,0.308949,0.000000,0.000000,2.776767,-2.776767
-4.233221,4.233221,0.000000,0.000000,0.973338,-2.951963,1.978625,0.000000,0.000000,2.303740,-2.440717,0.136977,0.000000,0.000000,2.642294,-2.642294
-4.282992,4.282991,0.000000,0.000000,0.692446,-1.081293,0.388848,0.000000,0.000000,2.491336,-2.556280,0.064944,0.000000,0.000000,2.247797,-2.247797
-4.857465,4.857465,0.000000,0.000000,0.082415,-1.113275,1.030860,0.000000,0.000000,1.743485,-2.209062,0.465577,0.000000,0.000000,1.603543,-1.603544
-4.187264,4.187264,0.000000,0.000000,0.597784,-1.798819,1.201035,0.000000,0.000000,2.961675,-3.403089,0.441414,0.000000,0.000000,2.860343,-2.860342
-4.221740,4.221740,0.000000,0.000000,1.482533,-1.817246,0.334713,0.000000,0.000000,2.535262,-3.216719,0.681457,0.000000,0.000000,2.797668,-2.797668
-4.254828,4.254828,0.000000,0.000000,0.094438,-0.953709,0.859271,0.000000,0.000000,2.138164,-2.282002,0.143838,0.000000,0.000000,1.839681,-1.839681
-4.334264,4.334263,0.000000,0.000000,0.617228,-0.901078,0.283850,0.000000,0.000000,2.012148,-2.017162,0.005015,0.000000,0.000000,2.018747,-2.018747
-4.036102,4.036102,0.000000,0.000000,0.469715,-1.752350,1.282635,0.000000,0.000000,2.271204,-2.614689,0.343485,0.000000,0.000000,2.580636,-2.580636
-3.969673,3.969673,0.000000,0.000000,0.627466,-1.361911,0.734446,0.000000,0.000000,2.309384,-2.408661,0.099277,0.000000,0.000000,2.220484,-2.220484
-4.080611,4.080611,0.000000,0.000000,0.232208,-0.337023,0.104814,0.000000,0.000000,2.543172,-2.700484,0.157312,0.000000,0.000000,2.167714,-2.167714
-3.523304,3.523304,0.000000,0.000000,0.433094,-1.771030,1.337937,0.000000,0.000000,2.125577,-2.448822,0.323245,0.000000,0.000000,2.054116,-2.054116
-4.687799,4.687799,0.000000,0.000000,0.554134,-0.924616,0.370482,0.000000,0.000000,2.470545,-2.598440,0.127895,0.000000,0.000000,2.446024,-2.446024
-3.455743,3.455743,0.000000,0.000000,0.380690,-1.077489,0.696799,0.000000,0.000000,2.002404,-2.064450,0.062046,0.000000,0.000000,2.120222,-2.120222
-4.192727,4.192727,0.000000,0.000000,0.293273,-0.502365,0.209091,0.000000,0.000000,2.241060,-2.376037,0.134977,0.000000,0.000000,2.634382,-2.634382
-3.424201,3.424201,0.000000,0.000000,0.036316,-0.817974,0.781658,0.000000,0.000000,1.799577,-1.841738,0.042161,0.000000,0.000000,1.944495,-1.944495
-4.081006,4.081006,0.000000,0.000000,0.460610,-0.612040,0.151431,0.000000,0.000000,2.335792,-2.556722,0.220930,0.000000,0.000000,2.088876,-2.088876
-5.626097,5.626097,0.000000,0.000000,0.494878,-0.609014,0.114136,0.000000,0.000000,2.132476,-2.360691,0.228215,0.000000,0.000000,3.543909,-3.543909
-3.786781,3.786781,0.000000,0.000000,0.041831,-0.823434,0.781603,0.000000,0.000000,2.106736,-2.279983,0.173246,0.000000,0.000000,1.801102,-1.801102
-4.427961,4.427961,0.000000,0.000000,0.611141,-1.333770,0.722628,0.000000,0.000000,2.148028,-2.400080,0.252052,0.000000,0.000000,2.201346,-2.201346
-4.205668,4.205668,0.000000,0.000000,1.068061,-1.673017,0.604956,0.000000,0.000000,2.999406,-3.358746,0.359340,0.000000,0.000000,2.819634,-2.819634
-3.669575,3.669575,0.000000,0.000000,0.116578,-0.443666,0.327089,0.000000,0.000000,2.195518,-2.569092,0.373574,0.000000,0.000000,2.774464,-2.774464
-3.936787,3.936787,0.000000,0.000000,0.379454,-1.654616,1.275162,0.000000,0.000000,2.038812,-2.091498,0.052686,0.000000,0.000000,2.223099,-2.223099
-4.394725,4.394725,0.000000,0.000000,0.356973,-1.362643,1.005670,0.000000,0.000000,2.175397,-2.508011,0.332614,0.000000,0.000000,2.204483,-2.204483
-3.948282,3.948282,0.000000,0.000000,0.255219,-1.287370,1.032151,0.000000,0.000000,2.210242,-2.752901,0.542659,0.000000,0.000000,2.200790,-2.200790
-4.489031,4.489031,0.000000,0.000000,0.239832,-0.721183,0.481351,0.000000,0.000000,2.514900,-3.245285,0.730385,0.000000,0.000000,2.228542,-2.228542
-4.187448,4.187448,0.000000,0.000000,0.192623,-0.315520,0.122897,0.000000,0.000000,2.343844,-2.392212,0.048368,0.000000,0.000000,2.186731,-2.186731
-4.002217,4.002217,0.000000,0.000000,0.218497,-0.407186,0.188688,0.000000,0.000000,2.132387,-2.512423,0.380036,0.000000,0.000000,2.223735,-2.223735
-4.163275,4.163275,0.000000,0.000000,0.087413,-0.393392,0.305979,0.000000,0.000000,2.332697,-3.054590,0.721893,0.000000,0.000000,2.535708,-2.535708
-4.324947,4.324947,0.000000,0.000000,0.905640,-1.042000,0.136360,0.000000,0.000000,2.245252,-2.417023,0.171771,0.000000,0.000000,2.536742,-2.536742
-3.715571,3.715571,0.000000,0.000000,0.519711,-1.404722,0.885011,0.000000,0.000000,2.020065,-2.116305,0.096240,0.000000,0.000000,2.134058,-2.134058
-4.021378,4.021378,0.000000,0.000000,0.450443,-1.641895,1.191452,0.000000,0.000000,2.002196,-2.401417,0.399221,0.000000,0.000000,2.536066,-2.536066
-3.741817,3.741817,0.000000,0.000000,0.321437,-1.594126,1.272688,0.000000,0.000000,2.706838,-3.028747,0.321909,0.000000,0.000000,1.989034,-1.989034
-3.435594,3.435594,0.000000,0.000000,0.142787,-1.273675,1.130888,0.000000,0.000000,2.250664,-2.357740,0.107076,0.000000,0.000000,2.532367,-2.532367
-4.053138,4.053139,0.000000,0.000000,0.772133,-1.703358,0.931224,0.000000,0.000000,2.236580,-2.264818,0.028238,0.000000,0.000000,2.485425,-2.485425
-3.686833,3.686833,0.000000,0.000000,0.046200,-0.408089,0.361889,0.000000,0.000000,2.184541,-2.312597,0.128057,0.000000,0.000000,2.161544,-2.161545
-4.068870,4.068870,0.000000,0.000000,0.804797,-1.110440,0.305643,0.000000,0.000000,2.231535,-2.359822,0.128287,0.000000,0.000000,2.214226,-2.214226
-4.213809,4.213809,0.000000,0.000000,0.991820,-1.937696,0.945876,0.000000,0.000000,2.022954,-2.119247,0.096294,0.000000,0.000000,2.457491,-2.457491
-4.925731,4.925731,0.000000,0.000000,0.179518,-1.116095,0.936577,0.000000,0.000000,1.842833,-2.568011,0.725178,0.000000,0.000000,1.839072,-1.839072
-4.465882,4.465882,0.000000,0.000000,0.541500,-1.375311,0.833811,0.000000,0.000000,2.399724,-2.953498,0.553774,0.000000,0.000000,2.327321,-2.327321
-5.801284,5.801284,0.000000,0.000000,0.209739,-0.997864,0.788125,0.000000,0.000000,1.883611,-2.608603,0.724992,0.000000,0.000000,2.726023,-2.726023
-5.198295,5.198295,0.000000,0.000000,0.260786,-0.567969,0.307183,0.000000,0.000000,2.422990,-3.023009,0.600019,0.000000,0.000000,2.224118,-2.224119
-4.624586,4.624586,0.000000,0.000000,0.557099,-0.869202,0.312103,0.000000,0.000000,2.394455,-3.015632,0.621177,0.000000,0.000000,2.395383,-2.395383
-4.767935,4.767935,0.000000,0.000000,1.127662,-2.190042,1.062380,0.000000,0.000000,2.588643,-2.762967,0.174324,0.000000,0.000000,2.072655,-2.072655
-4.443947,4.443947,0.000000,0.000000,0.480774,-1.110972,0.630199,0.000000,0.000000,1.843141,-2.178640,0.335499,0.000000,0.000000,2.827024,-2.827024
-3.913269,3.913269,0.000000,0.000000,0.244722,-1.034002,0.789280,0.000000,0.000000,1.862802,-2.149711,0.286908,0.000000,0.000000,2.050998,-2.050997
-4.188310,4.188310,0.000000,0.000000,0.121248,-0.177118,0.055870,0.000000,0.000000,2.222242,-2.567562,0.345321,0.000000,0.000000,2.703632,-2.703632
-3.951540,3.951540,0.000000,0.000000,0.123992,-0.481550,0.357558,0.000000,0.000000,2.144468,-2.309427,0.164959,0.000000,0.000000,2.452628,-2.452628
-4.629714,4.629714,0.000000,0.000000,0.824381,-1.355631,0.531251,0.000000,0.000000,1.963933,-2.050914,0.086981,0.000000,0.000000,1.838217,-1.838217
-3.706146,3.706146,0.000000,0.000000,0.159481,-0.220931,0.061450,0.000000,0.000000,2.205994,-2.901741,0.695747,0.000000,0.000000,2.469826,-2.469826
-4.241371,4.241371,0.000000,0.000000,0.135139,-1.600295,1.465156,0.000000,0.000000,2.439927,-2.693989,0.254061,0.000000,0.000000,2.705111,-2.705111
-4.252115,4.252115,0.000000,0.000000,0.621316,-0.765234,0.143918,0.000000,0.000000,2.258129,-2.491399,0.233270,0.000000,0.000000,2.487445,-2.487445
-3.859543,3.859543,0.000000,0.000000,0.655540,-1.591066,0.935525,0.000000,0.000000,2.391431,-2.450851,0.059421,0.000000,0.000000,2.694853,-2.694853
-4.386132,4.386132,0.000000,0.000000,1.054705,-2.465425,1.410720,0.000000,0.000000,2.112715,-2.439631,0.326916,0.000000,0.000000,2.366317,-2.366317
